"Species","Lake","Year","Length_cm","Weight_g","Length_mm","Length_group","Count"
"Smallmouth Bass","Michigan",2015,31.3,1416,313,"(200,400]",4
"Yellow Perch","Michigan",2020,43.9,1104,439,"(400,600]",3
"Smallmouth Bass","Erie",2023,47,1299,470,"(400,600]",7
"Smallmouth Bass","Erie",2017,21.4,1254,214,"(200,400]",4
"Yellow Perch","Erie",2017,47.7,150,477,"(400,600]",3
"Walleye","Erie",2023,48.3,965,483,"(400,600]",13
"Walleye","Erie",2015,39.5,1273,395,"(200,400]",9
"Walleye","Erie",2020,32.5,416,325,"(200,400]",9
"Yellow Perch","Erie",2023,64.6,1520,646,"(600, Inf]",4
"Yellow Perch","Erie",2019,28.3,595,283,"(200,400]",8
"Smallmouth Bass","Michigan",2019,84.6,559,846,"(600, Inf]",3
"Walleye","Michigan",2020,40.4,977,404,"(400,600]",13
"Yellow Perch","Michigan",2023,65.6,824,656,"(600, Inf]",4
"Yellow Perch","Michigan",2019,57.7,1279,577,"(400,600]",3
"Smallmouth Bass","Michigan",2023,17.5,1923,175,"(-Inf,200]",3
"Yellow Perch","Michigan",2022,33.4,1955,334,"(200,400]",8
"Walleye","Erie",2015,34,1339,340,"(200,400]",9
"Yellow Perch","Michigan",2015,24.2,1417,242,"(200,400]",8
"Smallmouth Bass","Michigan",2015,29.1,753,291,"(200,400]",4
"Walleye","Erie",2023,61.2,1366,612,"(600, Inf]",4
"Smallmouth Bass","Michigan",2021,59.8,1775,598,"(400,600]",7
"Walleye","Erie",2020,36.8,442,368,"(200,400]",9
"Smallmouth Bass","Michigan",2019,16.7,1471,167,"(-Inf,200]",3
"Walleye","Erie",2019,47.1,1251,471,"(400,600]",13
"Walleye","Michigan",2015,19.9,1183,199,"(-Inf,200]",1
"Walleye","Michigan",2022,24.1,713,241,"(200,400]",9
"Yellow Perch","Erie",2022,19.6,337,196,"(-Inf,200]",1
"Smallmouth Bass","Michigan",2020,56.9,1983,569,"(400,600]",7
"Smallmouth Bass","Erie",2015,67.3,1235,673,"(600, Inf]",3
"Walleye","Erie",2019,63.9,1081,639,"(600, Inf]",4
"Smallmouth Bass","Michigan",2016,39.7,544,397,"(200,400]",4
"Yellow Perch","Erie",2017,35.5,993,355,"(200,400]",8
"Walleye","Erie",2016,37.2,427,372,"(200,400]",9
"Walleye","Michigan",2016,55.4,511,554,"(400,600]",13
"Yellow Perch","Erie",2022,30.9,710,309,"(200,400]",8
"Smallmouth Bass","Michigan",2016,60.4,889,604,"(600, Inf]",3
"Walleye","Erie",2017,43.9,993,439,"(400,600]",13
"Smallmouth Bass","Erie",2019,19.6,1192,196,"(-Inf,200]",3
"Smallmouth Bass","Erie",2023,59.7,1206,597,"(400,600]",7
"Walleye","Erie",2023,39.9,959,399,"(200,400]",9
"Walleye","Michigan",2018,38.5,1375,385,"(200,400]",9
"Yellow Perch","Michigan",2016,32.6,1722,326,"(200,400]",8
"Walleye","Michigan",2017,25.2,1189,252,"(200,400]",9
"Smallmouth Bass","Michigan",2021,42.2,946,422,"(400,600]",7
"Walleye","Erie",2021,52.4,900,524,"(400,600]",13
"Walleye","Michigan",2020,51.2,1771,512,"(400,600]",13
"Yellow Perch","Michigan",2017,38.1,657,381,"(200,400]",8
"Walleye","Erie",2023,42.2,852,422,"(400,600]",13
"Yellow Perch","Erie",2020,32.8,191,328,"(200,400]",8
"Smallmouth Bass","Erie",2020,43.3,2095,433,"(400,600]",7
"Walleye","Erie",2019,40.2,1089,402,"(400,600]",13
"Smallmouth Bass","Erie",2022,41.8,1545,418,"(400,600]",7
"Walleye","Michigan",2021,72.9,1214,729,"(600, Inf]",4
"Yellow Perch","Erie",2018,81.1,595,811,"(600, Inf]",4
"Walleye","Erie",2020,44.8,742,448,"(400,600]",13
"Walleye","Michigan",2022,42.2,1099,422,"(400,600]",13
"Yellow Perch","Michigan",2020,65.7,870,657,"(600, Inf]",4
"Walleye","Michigan",2017,55.2,1090,552,"(400,600]",13
"Walleye","Michigan",2020,79,193,790,"(600, Inf]",4
"Walleye","Erie",2019,51.8,1395,518,"(400,600]",13
